title,page,organization_name,last_modified,created_at,metrics_views,metrics_resources_downloads,metrics_discussions
"Paquets SP1 Arome - Résolution 0,01° - Prévision du 9 avril 2024 à 6h00",https://www.data.gouv.fr/datasets/paquets-sp1-arome-resolution-0-01deg-prevision-du-9-avril-2024-a-6h00/,,2024-04-09,2024-04-09,1809,158,0
Résultats Election législative 2ème Tour - 2024 - Ville de Bourges - 1ere circonscription,https://www.data.gouv.fr/datasets/resultats-election-legislative-2eme-tour-2024-ville-de-bourges-1ere-circonscription/,Communauté d'Agglomération de Bourges,2024-07-08,2024-07-07,1782,2807,0
Déviations en Mayenne,https://www.data.gouv.fr/datasets/deviations-en-mayenne-1/,Le Conseil Départemental de la Mayenne,2025-09-01,2025-09-01,1727,4592,0
Resultats Election Législative 2eme Tour - 2022 - Ville de Bourges - 3eme Circonscription,https://www.data.gouv.fr/datasets/resultats-election-legislative-2eme-tour-2022-ville-de-bourges-3eme-circonscription/,Communauté d'Agglomération de Bourges,2022-06-20,2022-06-19,1727,4238,0
Point numérique - CC Grand Chambord,https://www.data.gouv.fr/datasets/point-numerique-cc-grand-chambord-2022/,Communauté de communes du Grand Chambord ,2024-05-02,2023-10-18,1655,3832,0
Demande de valeurs foncières géolocalisée,https://www.data.gouv.fr/datasets/demande-de-valeurs-foncieres-geolocalisee/,Fleury-sur-Orne,2021-06-01,2021-06-01,1573,3375,0
Aires de covoiturage,https://www.data.gouv.fr/datasets/aires-de-covoiturage-5/,Communauté d'Agglomération de Bourges,2025-04-22,2024-04-14,1558,4589,0
Fiches pratiques Service-Public.fr vectorisées,https://www.data.gouv.fr/datasets/fiches-pratiques-service-public-fr-vectorisees/,Direction interministérielle du numérique,2025-09-15,2025-05-23,1556,524,0
Subventions de Bourges Plus de 2020 à 2023,https://www.data.gouv.fr/datasets/subventions-de-bourges-plus-de-2020-a-2023/,Communauté d'Agglomération de Bourges,2024-05-06,2024-05-06,1548,2827,0
Délibérations - CC Grand Chambord (2020),https://www.data.gouv.fr/datasets/deliberations-cc-grand-chambord-2020/,Communauté de communes du Grand Chambord ,2022-11-29,2023-10-19,1527,4402,0
Paris 2024 - Parkings accrédités,https://www.data.gouv.fr/datasets/paris-2024-parkings-accredites/,Paris 2024,2024-10-01,2024-10-01,1517,5680,0
Les brevets à l'INPI et l'OEB,https://www.data.gouv.fr/datasets/les-brevets-a-linpi-et-loeb/,Fleury-sur-Orne,2019-06-29,2019-06-29,1509,2838,0
Resultats Election Législative 1er Tour - 2022 - Ville de Bourges - 2eme Circonscription,https://www.data.gouv.fr/datasets/resultats-election-legislative-1er-tour-2022-ville-de-bourges-2eme-circonscription/,Communauté d'Agglomération de Bourges,2022-06-13,2022-06-12,1477,3627,0
Accidents corporels de la circulation millésimé,https://www.data.gouv.fr/datasets/accidents-corporels-de-la-circulation-millesime-1/,Fleury-sur-Orne,2021-03-09,2021-03-09,1472,2534,0
Paris 2024 - Tracés des road events,https://www.data.gouv.fr/datasets/paris-2024-traces-des-road-events/,Paris 2024,2024-09-05,2024-09-05,1457,5309,0
Résultats Election législative 1er Tour - 2024 - Ville de Bourges - 1ere circonscription,https://www.data.gouv.fr/datasets/resultats-election-legislative-1er-tour-2024-ville-de-bourges-1ere-circonscription/,Communauté d'Agglomération de Bourges,2024-07-01,2024-06-30,1429,3772,0
Référentiel de l’organisation administrative de l’État vectorisé,https://www.data.gouv.fr/datasets/referentiel-de-lorganisation-administrative-de-letat-vectorise/,Direction interministérielle du numérique,2025-09-15,2025-05-23,1322,522,0
Base Permanente des Equipements (Ensemble) géolocalisée,https://www.data.gouv.fr/datasets/base-permanente-des-equipements-ensemble-geolocalisee/,Fleury-sur-Orne,2021-01-17,2021-01-17,1275,2779,0
DOLE : les dossiers législatifs vectorisés,https://www.data.gouv.fr/datasets/dole-les-dossiers-legislatifs-vectorises/,Direction interministérielle du numérique,2025-09-15,2025-07-24,1271,11,0
Populations légales - Millésimé,https://www.data.gouv.fr/datasets/populations-legales-millesime-1/,Fleury-sur-Orne,2021-01-07,2021-01-07,1262,2841,0
Subventions de Bourges Plus en 2018 et 2019,https://www.data.gouv.fr/datasets/subventions-de-bourges-plus-en-2018-et-2019/,Communauté d'Agglomération de Bourges,2020-12-02,2020-12-01,1259,3682,0
Data portals registry,https://www.data.gouv.fr/datasets/data-portals-registry/,Dateno,2025-04-02,2025-04-02,1170,1715,0
Service-public.fr - Annuaire de l’administration - Base de données locales vectorisée,https://www.data.gouv.fr/datasets/service-public-fr-annuaire-de-ladministration-base-de-donnees-locales-vectorisee/,Direction interministérielle du numérique,2025-09-15,2025-07-24,1158,700,0
Les délibérations de la CNIL vectorisées,https://www.data.gouv.fr/datasets/les-deliberations-de-la-cnil-vectorisees/,Direction interministérielle du numérique,2025-09-15,2025-07-24,1115,132,0
Base des diagnostics de performance énergétique (DPE) des bâtiments non résidentiels,https://www.data.gouv.fr/datasets/base-des-diagnostics-de-performance-energetique-dpe-des-batiments-non-residentiels/,Fleury-sur-Orne,2019-06-29,2019-06-29,1081,1503,0
Effectifs d'élèves des écoles du premier degré,https://www.data.gouv.fr/datasets/effectifs-deleves-des-ecoles-du-premier-degre/,Fleury-sur-Orne,2021-01-17,2021-01-17,1077,4904,0
Fiscalité locale - Millésimé,https://www.data.gouv.fr/datasets/fiscalite-locale-millesime/,Fleury-sur-Orne,2025-03-10,2025-03-10,1056,2039,0
Base nationale des décès dédoublonnée,https://www.data.gouv.fr/datasets/base-nationale-des-deces-dedoublonnee/,icem7,2025-09-10,2025-09-01,1048,,0
Consommation électrique annuelle,https://www.data.gouv.fr/datasets/consommation-electrique-annuelle/,Fleury-sur-Orne,2018-06-26,2018-06-26,971,5580,0
Naissances de 2009 à 2018,https://www.data.gouv.fr/datasets/naissances-de-2009-a-2018/,Fleury-sur-Orne,2020-01-15,2020-01-15,946,2138,0
Parkings et stationnements,https://www.data.gouv.fr/datasets/parkings-et-stationnements/,Fleury-sur-Orne,2025-09-15,2025-09-15,924,3696,0
Horaires de passages du réseau Twisto en temps réel,https://www.data.gouv.fr/datasets/horaires-de-passages-du-reseau-twisto-en-temps-reel/,Fleury-sur-Orne,2025-06-23,2025-06-23,906,2581,0
Aires de jeux,https://www.data.gouv.fr/datasets/aires-de-jeux-5/,Fleury-sur-Orne,2018-05-29,2018-05-29,902,2750,0
Inventaire matériel de l'Espace Public Numérique (EPN),https://www.data.gouv.fr/datasets/inventaire-materiel-de-lespace-public-numerique-epn/,Fleury-sur-Orne,2018-06-02,2018-06-02,884,1342,0
Jointure Dataset BOAMP 2025 <> Dataset SIREN (côté acheteurs),https://www.data.gouv.fr/datasets/jointure-dataset-boamp-2025-dataset-siren-cote-acheteurs/,AuFilDuBoamp.com,2025-09-22,2025-07-01,854,18,0
Hydrographie : Cours d'eau,https://www.data.gouv.fr/datasets/hydrographie-cours-deau/,Fleury-sur-Orne,2020-01-15,2020-01-15,850,4668,0
Résultats des élections municipales et communautaires 2014,https://www.data.gouv.fr/datasets/resultats-des-elections-municipales-et-communautaires-2014/,Fleury-sur-Orne,2018-06-17,2018-06-17,848,2269,0
Défibrillateurs,https://www.data.gouv.fr/datasets/defibrillateurs-6/,Fleury-sur-Orne,2018-05-29,2018-05-29,844,2712,0
Hydrographie : Points d'eau en France,https://www.data.gouv.fr/datasets/hydrographie-points-deau-en-france/,Fleury-sur-Orne,2020-01-15,2020-01-15,838,5198,0
Répertoire National des Associations - Fleury-sur-Orne,https://www.data.gouv.fr/datasets/repertoire-national-des-associations-fleury-sur-orne/,Fleury-sur-Orne,2025-08-18,2025-08-18,835,6879,0
Fiches pratiques Travail Emploi vectorisées,https://www.data.gouv.fr/datasets/fiches-pratiques-travail-emploi-vectorisees/,Direction interministérielle du numérique,2025-09-15,2025-05-23,834,215,0
Liste des maires successifs,https://www.data.gouv.fr/datasets/liste-des-maires-successifs/,Fleury-sur-Orne,2019-06-29,2019-06-29,810,2159,0
Structure de la population active par CSP et activité,https://www.data.gouv.fr/datasets/structure-de-la-population-active-par-csp-et-activite/,Fleury-sur-Orne,2021-10-12,2021-10-12,802,1713,0
Effectifs d'élèves des établissements du second degré,https://www.data.gouv.fr/datasets/effectifs-deleves-des-etablissements-du-second-degre/,Fleury-sur-Orne,2021-01-17,2021-01-17,799,1498,0
Consommation annuelle d’électricité et gaz et par secteur d’activité,https://www.data.gouv.fr/datasets/consommation-annuelle-delectricite-et-gaz-et-par-secteur-dactivite/,Fleury-sur-Orne,2019-06-29,2019-06-29,788,1595,0
Agrégation des fichiers de Documents de filiation informatisés (DFI) des parcelles,https://www.data.gouv.fr/datasets/agregation-des-fichiers-de-documents-de-filiation-informatises-dfi-des-parcelles/,data.gouv.fr,2025-09-15,2025-09-15,779,75,0
Populations légales- Millésimé,https://www.data.gouv.fr/datasets/populations-legales-millesime/,Fleury-sur-Orne,2021-01-16,2021-01-16,756,2811,0
Déploiement du haut et très haut débit,https://www.data.gouv.fr/datasets/deploiement-du-haut-et-tres-haut-debit/,Fleury-sur-Orne,2021-10-28,2021-10-28,745,2829,0
Restaurants,https://www.data.gouv.fr/datasets/restaurants/,Fleury-sur-Orne,2018-05-29,2018-05-29,730,4334,0
Lieux culturels,https://www.data.gouv.fr/datasets/lieux-culturels-2/,Fleury-sur-Orne,2018-06-17,2018-06-17,718,2161,0
Etablissements du domaine sanitaire et social,https://www.data.gouv.fr/datasets/etablissements-du-domaine-sanitaire-et-social/,Fleury-sur-Orne,2024-10-10,2024-10-10,709,2394,0
CONSTIT: les décisions du Conseil constitutionnel vectorisées,https://www.data.gouv.fr/datasets/constit-les-decisions-du-conseil-constitutionnel-vectorisees/,Direction interministérielle du numérique,2025-09-15,2025-07-24,702,92,0
Données du Répertoire national des élus locaux  : Elus municipaux et communautaires de Fleury-sur-Orne,https://www.data.gouv.fr/datasets/donnees-du-repertoire-national-des-elus-locaux-elus-municipaux-et-communautaires-de-fleury-sur-orne/,Fleury-sur-Orne,2019-06-29,2019-06-29,699,1364,0
Bornes incendie,https://www.data.gouv.fr/datasets/bornes-incendie/,Fleury-sur-Orne,2019-03-01,2019-03-01,697,3291,0
Dotations de la commune - montants et critères,https://www.data.gouv.fr/datasets/dotations-de-la-commune-montants-et-criteres/,Fleury-sur-Orne,2020-11-10,2020-11-10,692,4597,0
Lieux dits,https://www.data.gouv.fr/datasets/lieux-dits-1/,Fleury-sur-Orne,2025-09-14,2025-09-14,683,3995,0
Vigicrues - Hauteurs et débits de l'Orne,https://www.data.gouv.fr/datasets/vigicrues-hauteurs-et-debits-de-lorne/,Fleury-sur-Orne,2018-06-16,2018-06-16,677,2464,0
Historique des populations légales de 2008 à 2014,https://www.data.gouv.fr/datasets/historique-des-populations-legales-de-2008-a-2014/,Fleury-sur-Orne,2018-05-28,2018-05-28,673,1769,0
Historique des établissements du domaine sanitaire et social,https://www.data.gouv.fr/datasets/historique-des-etablissements-du-domaine-sanitaire-et-social/,Fleury-sur-Orne,2024-08-10,2024-08-10,665,1286,0
"Foyers allocataires à ""bas revenus"" (BC)",https://www.data.gouv.fr/datasets/foyers-allocataires-a-bas-revenus-bc/,Fleury-sur-Orne,2019-04-25,2019-04-25,662,2702,0
Fréquentation de l'Espace Public Numérique (EPN),https://www.data.gouv.fr/datasets/frequentation-de-lespace-public-numerique-epn/,Fleury-sur-Orne,2022-07-18,2022-07-18,659,936,0
Rapports annuels de la bibliothèque municipale Pauline Roland,https://www.data.gouv.fr/datasets/rapports-annuels-de-la-bibliotheque-municipale-pauline-roland/,Fleury-sur-Orne,2022-06-04,2022-06-04,651,1814,0
Election présidentielle 2017 Résultats par bureaux de vote – Tour 1,https://www.data.gouv.fr/datasets/election-presidentielle-2017-resultats-par-bureaux-de-vote-tour-1-2/,Fleury-sur-Orne,2018-05-29,2018-05-29,645,1175,0
Liste des personnes décédées à Fleury-sur-Orne depuis 1970,https://www.data.gouv.fr/datasets/liste-des-personnes-decedees-a-fleury-sur-orne-depuis-1970/,Fleury-sur-Orne,2020-09-24,2020-09-24,635,2681,0
Structure de la population active par sexe et activité,https://www.data.gouv.fr/datasets/structure-de-la-population-active-par-sexe-et-activite/,Fleury-sur-Orne,2021-10-12,2021-10-12,634,1184,0
Points de collecte des sapins de Noël,https://www.data.gouv.fr/datasets/points-de-collecte-des-sapins-de-noel/,Fleury-sur-Orne,2024-12-23,2024-12-23,633,996,0
Base Permanente des Equipements (Ensemble) - Millésimé,https://www.data.gouv.fr/datasets/base-permanente-des-equipements-ensemble-millesime/,Fleury-sur-Orne,2021-01-17,2021-01-17,628,2538,0
Répertoire des logements locatifs des bailleurs sociaux 2017,https://www.data.gouv.fr/datasets/repertoire-des-logements-locatifs-des-bailleurs-sociaux-2017/,Fleury-sur-Orne,2017-11-30,2017-11-30,615,2659,0
Subdivisions fiscales,https://www.data.gouv.fr/datasets/subdivisions-fiscales-1/,Fleury-sur-Orne,2025-09-14,2025-09-14,615,2264,0
Déploiement du haut et très haut débit - Immeuble,https://www.data.gouv.fr/datasets/deploiement-du-haut-et-tres-haut-debit-immeuble/,Fleury-sur-Orne,2021-06-06,2021-06-06,610,2140,0
Comptes consolidés de la commune 2012-2019,https://www.data.gouv.fr/datasets/comptes-consolides-de-la-commune-2012-2019/,Fleury-sur-Orne,2020-11-10,2020-11-10,609,6275,0
Points d'apport volontaire du verre,https://www.data.gouv.fr/datasets/points-dapport-volontaire-du-verre/,Fleury-sur-Orne,2018-06-01,2018-06-01,608,1379,0
Subventions aux associations,https://www.data.gouv.fr/datasets/subventions-aux-associations-4/,Fleury-sur-Orne,2018-06-16,2018-06-16,607,6935,0
Dénombrement et répartition des foyers allocataires selon l’âge du responsable de dossier (TA),https://www.data.gouv.fr/datasets/denombrement-et-repartition-des-foyers-allocataires-selon-lage-du-responsable-de-dossier-ta/,Fleury-sur-Orne,2019-04-25,2019-04-25,606,2294,0
Terrains de pétanque,https://www.data.gouv.fr/datasets/terrains-de-petanque/,Fleury-sur-Orne,2019-03-01,2019-03-01,601,1924,0
Comptes de la commune 2012-2019,https://www.data.gouv.fr/datasets/comptes-de-la-commune-2012-2019/,Fleury-sur-Orne,2020-11-10,2020-11-10,589,4900,0
Limites communales,https://www.data.gouv.fr/datasets/limites-communales-5/,Fleury-sur-Orne,2025-09-14,2025-09-14,589,2761,0
Les dernières actualités à Fleury-sur-Orne,https://www.data.gouv.fr/datasets/les-dernieres-actualites-a-fleury-sur-orne/,Fleury-sur-Orne,2025-09-20,2025-09-20,579,1373,0
Sites web hébergés par la Ville,https://www.data.gouv.fr/datasets/sites-web-heberges-par-la-ville/,Fleury-sur-Orne,2018-05-29,2018-05-29,577,1093,0
Contour Iris Millésimé,https://www.data.gouv.fr/datasets/contour-iris-millesime/,Fleury-sur-Orne,2020-10-11,2020-10-11,576,1771,0
Hydrographie : Surfaces d'eau,https://www.data.gouv.fr/datasets/hydrographie-surfaces-deau/,Fleury-sur-Orne,2020-01-15,2020-01-15,575,2068,0
Localisation des cimetières,https://www.data.gouv.fr/datasets/localisation-des-cimetieres/,Fleury-sur-Orne,2019-10-06,2019-10-06,573,1802,0
Bureaux de vote,https://www.data.gouv.fr/datasets/bureaux-de-vote-25/,Fleury-sur-Orne,2019-05-14,2019-05-14,573,1297,0
Déploiement du haut et très haut débit - Millésimé,https://www.data.gouv.fr/datasets/deploiement-du-haut-et-tres-haut-debit-millesime/,Fleury-sur-Orne,2021-10-28,2021-10-28,569,2740,0
Résultats des élections présidentielles 2022 - 1er tour - par bureau de vote,https://www.data.gouv.fr/datasets/resultats-des-elections-presidentielles-2022-1er-tour-par-bureau-de-vote/,Fleury-sur-Orne,2022-04-14,2022-04-14,567,2116,0
Comptes de la Collectivité,https://www.data.gouv.fr/datasets/comptes-de-la-collectivite/,Fleury-sur-Orne,2019-04-25,2019-04-25,565,3160,0
Arrêts de transport en commun,https://www.data.gouv.fr/datasets/arrets-de-transport-en-commun/,Fleury-sur-Orne,2018-06-17,2018-06-17,558,3120,0
Points d'accès Wifi Public,https://www.data.gouv.fr/datasets/points-dacces-wifi-public/,Fleury-sur-Orne,2020-06-18,2020-06-18,558,1838,0
Sections,https://www.data.gouv.fr/datasets/sections/,Fleury-sur-Orne,2025-09-14,2025-09-14,554,1516,0
Liste des boîtes aux lettres de rue avec heure limite de dépôt,https://www.data.gouv.fr/datasets/liste-des-boites-aux-lettres-de-rue-avec-heure-limite-de-depot/,Fleury-sur-Orne,2024-05-29,2024-05-29,550,3417,0
Mobilités professionnelles en 2015 : déplacements domicile - lieu de travail,https://www.data.gouv.fr/datasets/mobilites-professionnelles-en-2015-deplacements-domicile-lieu-de-travail/,Fleury-sur-Orne,2019-10-05,2019-10-05,536,3587,0
Elections municipales 2020 - Résultats du 1er tour,https://www.data.gouv.fr/datasets/elections-municipales-2020-resultats-du-1er-tour/,Fleury-sur-Orne,2020-06-29,2020-06-29,535,2638,0
Tables de pique-nique,https://www.data.gouv.fr/datasets/tables-de-pique-nique/,Fleury-sur-Orne,2019-03-01,2019-03-01,532,1240,0
Immeubles protégés au titre des Monuments Historiques,https://www.data.gouv.fr/datasets/immeubles-proteges-au-titre-des-monuments-historiques-4/,Fleury-sur-Orne,2025-06-23,2025-06-23,531,2484,0
